State,Year_2019,Year_2020,Year_2021,2019_c,2020_c,2021_c
Alabama,0.23721563289908615,0.20869098712446352,0.1904906117504543,2.68,2.5,2.65
Alaska,0.011471903558234494,0.00661659513590844,0.005602665051483949,3.24,3.42,3.65
Arizona,0.24363212132996306,0.24052217453505007,0.24348879466989704,2.42,2.34,2.52
Arkansas,0.12385767062026054,0.14449213161659513,0.13219261053906725,2.33,2.21,2.36
California,0.9379739451681898,0.9524320457796853,0.8847668079951544,2.37,2.33,2.48
Colorado,0.1485514291269687,0.14055793991416307,0.13506965475469412,2.79,2.7,2.92
Connecticut,0.06397044526540929,0.07027896995708155,0.05723803755299818,2.57,2.46,2.66
Delaware,0.026638148940307214,0.01806151645207439,0.018170805572380374,2.77,2.6,2.76
District of Columbia,0.0,0.0,0.0,2.76,2.62,2.82
Florida,0.7872836865642622,0.7752145922746781,0.736069049061175,2.47,2.37,2.56
Georgia,0.3669064748201439,0.3665951359084406,0.3346456692913386,2.43,2.32,2.46
Hawaii,0.02352712424654871,0.01323319027181688,0.011962447001817079,2.29,2.22,2.38
Idaho,0.05347073692397433,0.04309728183118741,0.045881284070260445,2.53,2.45,2.61
Illinois,0.26035387905891505,0.28415593705293274,0.27634766807995154,2.54,2.43,2.59
Indiana,0.1954112385767062,0.20189556509298998,0.17580254391278013,2.56,2.46,2.61
Iowa,0.08341434960139996,0.07778969957081544,0.06723198061780739,2.45,2.35,2.5
Kansas,0.09294186272603538,0.08637339055793991,0.07495457298606904,2.44,2.33,2.5
Kentucky,0.17110635815671787,0.17256795422031473,0.1470321017565112,2.42,2.29,2.45
Louisiana,0.18335601788839198,0.1886623748211731,0.19170199878861297,2.86,2.75,2.94
Maine,0.0349990278047832,0.03290414878397711,0.02422774076317383,2.45,2.34,2.52
Maryland,0.13532957417849503,0.1328683834048641,0.11099333737129012,2.61,2.49,2.68
Massachusetts,0.08399766673147968,0.07331902718168812,0.08070866141732283,2.61,2.5,2.68
Michigan,0.2449931946334824,0.25053648068669526,0.2221380981223501,2.58,2.48,2.64
Minnesota,0.0845809838615594,0.08547925608011445,0.08858267716535433,2.61,2.5,2.66
Mississippi,0.1567178689480848,0.1552217453505007,0.13597819503331315,2.24,2.13,2.28
Missouri,0.22029943612677427,0.23122317596566522,0.19942459115687464,2.51,2.4,2.56
Montana,0.0435543457126191,0.04881974248927039,0.044518473652331914,2.71,2.59,2.79
Nebraska,0.05599844448765312,0.04810443490701002,0.03725015142337977,2.45,2.34,2.5
Nevada,0.07466459265020416,0.07010014306151646,0.07162325863113264,2.82,2.72,2.84
New Hampshire,0.021971611899669452,0.01806151645207439,0.017716535433070866,2.77,2.65,2.75
New Jersey,0.13532957417849503,0.1296494992846924,0.13098122350090854,2.68,2.57,2.65
New Mexico,0.1048026443709897,0.08762517882689558,0.09070260448213203,2.76,2.64,2.73
New York,0.23468792533540736,0.24213161659513588,0.23546335554209571,2.54,2.4,2.46
North Carolina,0.36223993777950614,0.36123032904148783,0.3241974560872199,2.38,2.27,2.36
North Dakota,0.022360489986389266,0.016273247496423462,0.012870987280436098,2.71,2.6,2.69
Ohio,0.2998250048609761,0.30579399141630903,0.28921865536038766,2.51,2.39,2.48
Oklahoma,0.1538012832976862,0.14467095851216022,0.14264082374318596,2.45,2.34,2.43
Oregon,0.1306630371378573,0.12160228898426323,0.12204724409448818,2.74,2.63,2.72
Pennsylvania,0.26696480653315185,0.2584048640915594,0.2378861296184131,2.51,2.39,2.48
Rhode Island,0.010888586428154772,0.009298998569384834,0.005754088431253785,2.78,2.65,2.73
South Carolina,0.25452070775811786,0.25143061516452075,0.24182313749242884,2.44,2.32,2.41
South Dakota,0.02002722146607039,0.026645207439198855,0.023622047244094484,2.57,2.46,2.55
Tennessee,0.28057553956834536,0.2759298998569385,0.25635978195033315,2.42,2.31,2.0
